Dataset,Model,Batch Size,Optimizer,Learning Rate,Epochs,Best Val Accuracy,Test Accuracy
FashionMNIST,RESNET18,16,SGD,0.001,4,91.43,90.92
FashionMNIST,RESNET50,16,SGD,0.001,4,91.36,90.66
FashionMNIST,RESNET18,16,SGD,0.0001,4,84.97,84.38
FashionMNIST,RESNET50,16,SGD,0.0001,4,81.83,81.16
FashionMNIST,RESNET18,16,Adam,0.001,4,91.86,91.33
FashionMNIST,RESNET50,16,Adam,0.001,4,91.43,90.96
FashionMNIST,RESNET18,16,Adam,0.0001,4,93.01,92.27
FashionMNIST,RESNET50,16,Adam,0.0001,4,91.76,91.14
FashionMNIST,RESNET18,32,SGD,0.001,4,91.07,90.3
FashionMNIST,RESNET50,32,SGD,0.001,4,88.67,88.12
FashionMNIST,RESNET18,32,Adam,0.0001,4,91.57,90.83
FashionMNIST,RESNET50,32,Adam,0.0001,4,91.67,91.52
FashionMNIST,RESNET18,16,SGD,0.001,8,92.24,91.83
FashionMNIST,RESNET50,16,SGD,0.001,8,92.56,91.67
FashionMNIST,RESNET18,16,SGD,0.0001,8,90.36,89.71
FashionMNIST,RESNET50,16,SGD,0.0001,8,87.41,86.88
FashionMNIST,RESNET18,16,Adam,0.001,8,93.93,92.97
FashionMNIST,RESNET50,16,Adam,0.001,8,92.41,92.41
FashionMNIST,RESNET18,16,Adam,0.0001,8,93.6,92.7
FashionMNIST,RESNET50,16,Adam,0.0001,8,92.89,92.51
FashionMNIST,RESNET18,32,SGD,0.001,8,92.19,91.25
FashionMNIST,RESNET50,32,SGD,0.001,8,90.39,89.6
FashionMNIST,RESNET18,32,Adam,0.0001,8,93.16,92.53
FashionMNIST,RESNET50,32,Adam,0.0001,8,92.99,92.23
