Dataset,Model,Batch Size,Optimizer,Learning Rate,Epochs,Best Val Accuracy,Test Accuracy
MNIST,RESNET18,16,SGD,0.001,4,99.19,99.13
MNIST,RESNET50,16,SGD,0.001,4,98.87,99.02
MNIST,RESNET18,16,SGD,0.0001,4,97.0,97.43
MNIST,RESNET50,16,SGD,0.0001,4,96.6,97.08
MNIST,RESNET18,16,Adam,0.001,4,99.11,99.18
MNIST,RESNET50,16,Adam,0.001,4,98.33,98.4
MNIST,RESNET18,16,Adam,0.0001,4,99.19,99.38
MNIST,RESNET50,16,Adam,0.0001,4,98.99,99.15
MNIST,RESNET18,32,SGD,0.001,4,98.77,98.78
MNIST,RESNET50,32,SGD,0.001,4,98.76,98.84
MNIST,RESNET18,32,Adam,0.0001,4,99.1,99.3
MNIST,RESNET50,32,Adam,0.0001,4,98.9,99.11
MNIST,RESNET18,16,SGD,0.001,8,99.47,99.39
MNIST,RESNET50,16,SGD,0.001,8,99.23,99.01
MNIST,RESNET18,16,SGD,0.0001,8,98.37,98.78
MNIST,RESNET50,16,SGD,0.0001,8,98.16,98.27
MNIST,RESNET18,16,Adam,0.001,8,99.39,99.51
MNIST,RESNET50,16,Adam,0.001,8,99.26,99.4
MNIST,RESNET18,16,Adam,0.0001,8,99.43,99.53
MNIST,RESNET50,16,Adam,0.0001,8,99.21,99.36
MNIST,RESNET18,32,SGD,0.001,8,99.29,99.28
MNIST,RESNET50,32,SGD,0.001,8,98.9,99.01
MNIST,RESNET18,32,Adam,0.0001,8,99.33,99.47
MNIST,RESNET50,32,Adam,0.0001,8,99.2,99.18
