Dataset,Experiment ID,Kernel,C,Gamma,Degree,Coef0,Training Time (ms),Train Accuracy (%),Val Accuracy (%),Test Accuracy (%),Test F1-Score (%),Test Precision (%),Test Recall (%)
FashionMNIST,1,rbf,0.1,scale,3,0.0,40318.28,84.33,84.37,83.25,83.06,83.04,83.25
FashionMNIST,2,rbf,1.0,scale,3,0.0,20607.67,88.81,87.76,86.5,86.43,86.43,86.5
FashionMNIST,3,rbf,10.0,scale,3,0.0,20697.87,92.77,89.94,88.38,88.34,88.34,88.38
FashionMNIST,4,rbf,1.0,auto,3,0.0,111096.08,97.08,83.64,82.35,82.6,84.26,82.35
FashionMNIST,5,rbf,10.0,auto,3,0.0,162821.28,99.96,83.81,82.62,82.86,84.29,82.62
FashionMNIST,6,rbf,1.0,0.001,3,0.0,18804.67,87.69,87.36,86.09,86.03,86.03,86.09
FashionMNIST,7,rbf,1.0,0.01,3,0.0,56678.82,94.37,87.54,86.37,86.25,86.35,86.37
FashionMNIST,8,rbf,1.0,0.1,3,0.0,591494.4,99.95,53.13,52.08,57.89,83.07,52.08
FashionMNIST,9,poly,0.1,scale,2,0.0,25397.19,83.29,83.27,82.32,82.5,82.83,82.32
FashionMNIST,10,poly,1.0,scale,2,0.0,14733.89,87.89,87.33,85.87,85.87,85.9,85.87
FashionMNIST,11,poly,10.0,scale,2,0.0,17145.27,90.55,89.13,87.27,87.25,87.26,87.27
FashionMNIST,12,poly,1.0,scale,3,0.0,18938.91,88.33,87.59,85.93,86.02,86.15,85.93
FashionMNIST,13,poly,1.0,scale,4,0.0,21712.76,87.24,85.67,84.06,84.46,85.32,84.06
FashionMNIST,14,poly,1.0,scale,3,1.0,10956.52,90.64,89.31,87.45,87.42,87.43,87.45
FashionMNIST,15,poly,1.0,auto,2,0.0,28424.69,93.21,89.01,87.53,87.5,87.52,87.53
FashionMNIST,16,poly,1.0,auto,3,0.0,74999.97,99.29,87.73,86.61,86.6,86.65,86.61
FashionMNIST,17,rbf,5.0,scale,3,0.0,20945.39,91.55,89.59,87.93,87.89,87.89,87.93
FashionMNIST,18,rbf,50.0,scale,3,0.0,25354.21,95.62,89.94,88.27,88.23,88.22,88.27
FashionMNIST,19,poly,5.0,scale,2,0.0,13654.3,89.84,88.9,87.0,86.98,86.99,87.0
FashionMNIST,20,poly,5.0,scale,3,0.0,14091.01,91.19,89.06,87.14,87.18,87.24,87.14
