Dataset,Experiment ID,Kernel,C,Gamma,Degree,Coef0,Training Time (ms),Train Accuracy (%),Val Accuracy (%),Test Accuracy (%),Test F1-Score (%),Test Precision (%),Test Recall (%)
MNIST,1,rbf,0.1,scale,3,0.0,39270.32,94.7,94.3,94.29,94.28,94.29,94.29
MNIST,2,rbf,1.0,scale,3,0.0,17956.4,98.08,96.9,96.7,96.7,96.7,96.7
MNIST,3,rbf,10.0,scale,3,0.0,17228.68,99.58,97.79,97.59,97.59,97.59,97.59
MNIST,4,rbf,1.0,auto,3,0.0,141499.44,99.82,90.83,90.46,91.22,93.53,90.46
MNIST,5,rbf,10.0,auto,3,0.0,166879.5,100.0,91.43,91.03,91.7,93.74,91.03
MNIST,6,rbf,1.0,0.001,3,0.0,15772.77,96.41,95.94,95.68,95.67,95.68,95.68
MNIST,7,rbf,1.0,0.01,3,0.0,55265.3,99.51,96.03,95.72,95.78,96.01,95.72
MNIST,8,rbf,1.0,0.1,3,0.0,548257.36,100.0,51.31,50.37,56.03,90.29,50.37
MNIST,9,poly,0.1,scale,2,0.0,34436.67,94.87,94.24,94.25,94.27,94.33,94.25
MNIST,10,poly,1.0,scale,2,0.0,14677.43,97.61,96.39,96.41,96.41,96.42,96.41
MNIST,11,poly,10.0,scale,2,0.0,12852.21,99.11,97.09,97.12,97.12,97.12,97.12
MNIST,12,poly,1.0,scale,3,0.0,15448.06,97.68,96.26,96.47,96.47,96.5,96.47
MNIST,13,poly,1.0,scale,4,0.0,55683.13,95.61,93.5,93.51,93.66,94.18,93.51
MNIST,14,poly,1.0,scale,3,1.0,6029.25,98.91,97.4,97.3,97.3,97.3,97.3
MNIST,15,poly,1.0,auto,2,0.0,13048.5,99.77,96.91,96.45,96.45,96.46,96.45
MNIST,16,poly,1.0,auto,3,0.0,13121.57,99.99,97.04,96.75,96.75,96.76,96.75
MNIST,17,rbf,5.0,scale,3,0.0,24205.86,99.27,97.7,97.36,97.36,97.36,97.36
MNIST,18,rbf,50.0,scale,3,0.0,20413.27,99.93,97.49,97.32,97.32,97.32,97.32
MNIST,19,poly,5.0,scale,2,0.0,11338.22,98.73,97.09,97.03,97.03,97.03,97.03
MNIST,20,poly,5.0,scale,3,0.0,14350.04,99.05,97.1,97.06,97.06,97.07,97.06
